2026-03-23 10:28:45,287 | INFO | __main__ | Aplicação iniciada
2026-03-23 10:28:45,288 | INFO | src.database.init_db | Inicializando banco de dados
2026-03-23 10:28:45,288 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-23 10:29:11,031 | INFO | __main__ | Aplicação iniciada
2026-03-23 10:29:11,032 | INFO | src.database.init_db | Inicializando banco de dados
2026-03-23 10:29:11,032 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-23 10:29:30,240 | INFO | __main__ | Aplicação iniciada
2026-03-23 10:29:30,241 | INFO | src.database.init_db | Inicializando banco de dados
2026-03-23 10:29:30,241 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-23 10:29:30,253 | INFO | src.database.init_db | Tabelas criadas no banco
2026-03-23 10:29:30,256 | INFO | __main__ | Página selecionada: Resumo
2026-03-23 10:30:58,246 | INFO | __main__ | Aplicação iniciada
2026-03-23 10:30:58,247 | INFO | src.database.init_db | Inicializando banco de dados
2026-03-23 10:30:58,247 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-23 10:30:58,249 | INFO | src.database.init_db | Tabelas criadas no banco
2026-03-23 10:30:58,252 | INFO | __main__ | Página selecionada: Resumo
2026-03-23 10:34:29,771 | INFO | __main__ | Página selecionada: Transações
2026-03-23 10:34:30,234 | INFO | __main__ | Página selecionada: Resumo
2026-03-23 10:34:30,613 | INFO | __main__ | Página selecionada: Transações
2026-03-23 10:34:39,027 | INFO | __main__ | Página selecionada: Resumo
2026-03-23 10:35:39,471 | INFO | __main__ | Aplicação iniciada
2026-03-23 10:35:39,472 | INFO | src.database.init_db | Inicializando banco de dados
2026-03-23 10:35:39,473 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-23 10:35:39,474 | INFO | src.database.init_db | Tabelas criadas no banco
2026-03-23 10:35:39,477 | INFO | __main__ | Página selecionada: Resumo
2026-03-23 10:38:37,816 | INFO | __main__ | Aplicação iniciada
2026-03-23 10:38:37,819 | INFO | src.database.init_db | Inicializando banco de dados
2026-03-23 10:38:37,820 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-23 10:38:37,821 | INFO | src.database.init_db | Tabelas criadas no banco
2026-03-23 10:38:37,831 | INFO | __main__ | Página selecionada: Resumo
2026-03-23 10:38:40,532 | INFO | __main__ | Página selecionada: Transações
2026-03-23 10:38:41,231 | INFO | __main__ | Página selecionada: Resumo
2026-03-23 10:38:41,632 | INFO | __main__ | Página selecionada: Transações
2026-03-23 10:38:41,917 | INFO | __main__ | Página selecionada: Resumo
2026-03-23 10:38:43,920 | INFO | __main__ | Página selecionada: Transações
2026-03-23 10:38:44,224 | INFO | __main__ | Página selecionada: Resumo
2026-03-23 10:38:44,555 | INFO | __main__ | Página selecionada: Transações
2026-03-23 10:38:44,792 | INFO | __main__ | Página selecionada: Resumo
2026-03-23 10:38:59,397 | INFO | __main__ | Página selecionada: Transações
2026-03-23 10:46:09,118 | INFO | __main__ | Aplicação iniciada
2026-03-23 10:46:09,120 | INFO | __main__ | Página selecionada: Resumo
2026-03-23 10:46:10,803 | INFO | __main__ | Página selecionada: Transações
2026-03-23 10:46:10,805 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-23 10:46:47,055 | INFO | __main__ | Aplicação iniciada
2026-03-23 10:46:47,056 | INFO | __main__ | Página selecionada: Resumo
2026-03-23 10:46:48,719 | INFO | __main__ | Página selecionada: Transações
2026-03-23 10:46:48,719 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-23 10:46:58,181 | INFO | __main__ | Aplicação iniciada
2026-03-23 10:46:58,183 | INFO | src.database.init_db | Inicializando banco de dados
2026-03-23 10:46:58,183 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-23 10:47:18,796 | INFO | __main__ | Aplicação iniciada
2026-03-23 10:47:18,798 | INFO | src.database.init_db | Inicializando banco de dados
2026-03-23 10:47:18,798 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-23 10:47:18,807 | INFO | src.database.init_db | Tabelas criadas no banco
2026-03-23 10:47:18,814 | INFO | __main__ | Página selecionada: Resumo
2026-03-23 10:47:19,912 | INFO | __main__ | Página selecionada: Transações
2026-03-23 10:47:19,913 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-23 10:47:53,291 | INFO | __main__ | Aplicação iniciada
2026-03-23 10:47:53,293 | INFO | src.database.init_db | Inicializando banco de dados
2026-03-23 10:47:53,293 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-23 10:47:53,294 | INFO | src.database.init_db | Tabelas criadas no banco
2026-03-23 10:47:53,300 | INFO | __main__ | Página selecionada: Resumo
2026-03-23 10:47:54,373 | INFO | __main__ | Página selecionada: Transações
2026-03-23 10:47:54,374 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-23 10:50:23,808 | INFO | __main__ | Página selecionada: Transações
2026-03-23 10:50:33,011 | INFO | __main__ | Página selecionada: Transações
2026-03-23 10:50:34,577 | INFO | __main__ | Página selecionada: Transações
2026-03-23 10:50:36,647 | INFO | __main__ | Página selecionada: Transações
2026-03-23 10:50:37,078 | INFO | __main__ | Página selecionada: Transações
2026-03-23 10:50:37,884 | INFO | __main__ | Página selecionada: Transações
2026-03-23 10:50:39,160 | INFO | __main__ | Página selecionada: Transações
2026-03-23 10:50:42,518 | INFO | __main__ | Página selecionada: Transações
2026-03-23 10:50:59,471 | INFO | __main__ | Página selecionada: Transações
2026-03-23 10:55:16,639 | INFO | __main__ | Aplicação iniciada
2026-03-23 10:55:16,641 | INFO | __main__ | Página selecionada: Resumo
2026-03-23 10:55:17,826 | INFO | __main__ | Página selecionada: Transações
